executionTime,wakeUpLatency,interfered
23073,4271,1
22813,5312,0
22395,4011,0
42656,4479,0
22500,4115,0
22969,4688,0
22448,5417,0
23281,4584,0
22500,4219,0
23489,4583,0
23281,4062,0
22865,4583,0
22396,4115,0
43437,4583,0
42760,4219,1
22969,4688,0
22553,4062,0
22813,4219,0
22500,3698,0
23177,4531,0
23333,4063,0
22969,4687,0
29688,4791,0
42552,4688,0
42083,4115,0
42552,4583,0
41875,4063,0
42552,4584,0
23072,4063,0
43646,4895,1
22656,4062,0
22760,4584,0
29948,3959,0
42552,4740,0
42187,4115,0
30208,4740,0
42760,4063,0
30156,5313,0
29792,4114,0
42708,4479,0
42188,4010,0
22813,4635,0
23021,4167,0
30625,4792,1
29896,4063,0
22917,4531,0
23125,4114,0
42708,4531,0
22657,4895,0
30209,4531,0
42136,4010,0
43125,4531,0
22292,4114,0
22865,4583,0
22292,4166,0
22813,4531,0
22396,4114,0
43230,4583,0
22864,4896,1
42708,4687,0
22396,4115,0
23594,4531,0
42395,4115,0
42031,5365,0
21979,4167,0
22239,4584,0
22032,4062,0
22656,4636,0
41615,4062,0
22500,4480,0
21875,4011,0
22917,4479,0
42865,4219,1
22448,5416,0
21979,4480,0
22343,4479,0
29427,4063,0
22708,4688,0
21979,4011,0
22292,4636,0
21979,4010,0
22292,4583,0
21875,4011,0
22448,4584,0
21979,3854,0
22500,4583,0
22656,4062,0
43385,4688,1
42084,4010,0
22240,5052,0
21823,4167,0
22396,4427,0
21927,4062,0
29740,4531,0
41667,4062,0
22240,4635,0
41719,4062,0
29584,4583,0
42865,4114,0
42136,4479,0
41823,4635,0
23021,4583,0
42396,4323,1
22448,4739,0
29583,4063,0
22552,4479,0
22031,4063,0
29583,4688,0
21823,4063,0
29583,4636,0
29062,4792,0
22239,4532,0
29323,4115,0
23073,4480,0
42135,4063,0
23072,5105,0
22448,4271,1
23385,4583,0
21875,4115,0
29739,4375,0
21927,4063,0
42135,4531,0
41667,4166,0
42812,4479,0
42448,4063,0
42187,5157,0
41719,4427,0
42187,4479,0
21979,4219,0
42760,4583,0
31510,4427,1
29896,4687,0
21979,4167,0
23230,4635,0
21927,3958,0
22344,4583,0
22031,5260,0
22343,4636,0
21979,4011,0
23178,4583,0
21875,4115,0
22396,4896,0
22084,3854,0
22344,4583,0
22656,3907,0
42396,4791,1
21875,4636,0
22344,4688,0
22031,4063,0
23177,4531,0
42344,4063,0
42083,4479,0
21927,4010,0
22292,4583,0
29427,4062,0
22448,4687,0
21979,4115,0
22343,4375,0
21979,4063,0
23021,4687,0
23281,4115,1
22396,5209,0
21979,4739,0
29844,4635,0
41823,3958,0
42708,4636,0
22083,3958,0
22240,4739,0
21927,3958,0
22344,4531,0
21927,4063,0
42135,4740,0
29427,3958,0
22239,4740,0
30052,4062,0
23438,4739,1
22760,4063,0
22292,5312,0
29427,4063,0
42239,4428,0
29271,4167,0
42083,4635,0
21927,4062,0
22188,4687,0
29323,3959,0
42083,4584,0
30104,4115,0
42187,4427,0
21927,4687,0
22916,4584,0
22604,4218,1
22917,4531,0
22083,3906,0
22240,5312,0
21928,4010,0
22240,4583,0
21927,4062,0
22604,4687,0
22031,4792,0
22344,4531,0
21980,4062,0
29687,4531,0
30312,3906,0
29895,5365,0
23281,4010,0
22969,4688,1
21979,4167,0
22969,4583,0
21875,4114,0
22396,4479,0
41823,4063,0
23021,4583,0
22761,4062,0
22552,5782,0
22083,4688,0
22395,4584,0
21979,4063,0
23073,4271,0
29427,3854,0
23229,4792,0
22500,4115,1
22447,4688,0
21875,4166,0
22396,4531,0
21979,3958,0
42031,4584,0
21875,4063,0
23125,4635,0
22344,4114,0
42344,5209,0
21927,4063,0
22448,4583,0
41875,3906,0
22344,4531,0
42344,4011,0
42396,4740,1
29375,4115,0
30312,4636,0
29948,4167,0
22396,4479,0
22031,4635,0
22448,4583,0
29427,4010,0
42239,4636,0
21927,4063,0
22343,4688,0
21927,4063,0
22396,4531,0
22084,4062,0
22968,4688,0
22448,4948,1
22292,4636,0
22083,4063,0
23229,4635,0
22083,3959,0
42239,5209,0
21927,4219,0
29687,4584,0
21927,4219,0
29635,4636,0
41771,4947,0
42135,4584,0
22031,3959,0
30469,4583,0
23281,4063,0
22708,5625,1
22031,4375,0
22344,4687,0
21875,4166,0
22396,4531,0
21927,4062,0
22240,5208,0
41667,4062,0
45781,4636,0
22084,4114,0
22240,5313,0
29480,4843,0
22344,4375,0
21927,4062,0
43177,4584,0
22865,4167,1
22396,4635,0
29323,4115,0
22187,4636,0
41615,4010,0
42031,4584,0
29375,4844,0
22240,4635,0
29271,4011,0
42813,4531,0
22708,4115,0
22239,5313,0
41771,3959,0
22343,4636,0
22708,4011,0
22656,4687,1
29479,4114,0
22291,4636,0
41667,4167,0
