executionTime,wakeUpLatency,interfered
22083,4167,0
22239,4532,0
21771,4792,0
42136,4687,0
22084,4166,0
23281,4479,0
22760,4115,0
23437,5157,0
22604,4218,1
22500,4583,0
21980,4114,0
22396,4583,0
22240,4010,0
42292,4739,0
41980,3958,0
23125,4688,0
22656,4167,0
22448,5417,0
21980,4479,0
22240,4531,0
22187,4063,0
23438,4427,0
29948,4271,1
42500,4583,0
41927,4115,0
42135,4532,0
41875,4010,0
42239,4531,0
22135,4792,0
42031,4636,0
21979,4219,0
23333,4584,0
29844,4062,0
42239,5261,0
41822,4063,0
29948,4583,0
42448,4062,0
30625,4792,1
29479,5052,0
42240,4635,0
41771,4114,0
22292,4427,0
22657,4114,0
29844,5312,0
29375,4167,0
22344,4583,0
22084,4166,0
42343,4636,0
22031,4115,0
29739,4583,0
41770,4063,0
42605,4583,0
23646,4323,1
23385,4584,0
22448,3959,0
22813,4531,0
22448,4114,0
42604,4428,0
22344,4167,0
42812,4479,0
22448,4218,0
22969,4531,0
42188,3958,0
42604,4479,0
22344,4843,0
23593,4427,0
22865,4270,1
24062,4479,0
43021,3802,0
23281,4583,0
22552,4167,0
22761,4635,0
42292,4219,0
22968,4636,0
22500,4114,0
22916,4636,0
29792,4166,0
22813,4531,0
23698,4166,0
24115,5469,0
22917,4948,1
23021,4687,0
22395,4115,0
23542,4531,0
22396,4167,0
22968,4792,0
22448,4063,0
42656,4428,0
42292,4115,0
23021,4583,0
22604,4740,0
22969,4479,0
22239,4063,0
32031,4636,0
43229,4271,1
22760,5313,0
42395,4167,0
30261,4635,0
42188,4010,0
42813,4635,0
42291,4115,0
22761,4687,0
42187,4115,0
22865,4739,0
30416,4115,0
22865,5417,0
22395,4011,0
30260,4635,0
23125,4115,0
30469,4739,1
29740,4167,0
22865,4687,0
29895,4011,0
22605,4635,0
42031,4115,0
22864,4636,0
22500,4792,0
22969,4531,0
22500,4167,0
30937,4584,0
22500,4063,0
42708,4427,0
42396,4167,0
44167,4531,0
42604,4219,1
42552,4740,0
42135,4948,0
42604,4583,0
22292,3958,0
42292,4635,0
29322,4115,0
29740,5260,0
22031,4219,0
23334,4531,0
22135,4167,0
22656,4584,0
21979,4011,0
22396,4739,0
22760,4219,0
22812,4688,1
22135,4115,0
22448,4688,0
22135,5313,0
22291,4480,0
21979,4167,0
42812,4584,0
22031,4167,0
22292,4844,0
21979,4115,0
23542,4583,0
41875,4115,0
42135,4531,0
22240,4167,0
23073,4583,0
29896,4323,1
22448,4636,0
22604,4115,0
22500,4479,0
21979,4114,0
22344,4635,0
22031,4114,0
22500,4688,0
22084,4114,0
29896,4635,0
41771,4062,0
43125,4375,0
22917,4062,0
22865,4635,0
22552,4948,1
22396,4687,0
22135,4063,0
42188,4739,0
29427,4011,0
22500,4844,0
29531,4115,0
22604,4688,0
22031,4115,0
22448,4531,0
29479,4844,0
42187,4583,0
29531,3959,0
43125,4583,0
23386,4114,0
22656,5625,1
29427,4219,0
42135,4740,0
29531,4166,0
42188,4479,0
