executionTime,wakeUpLatency,interfered
16206146,-25051,0
53281,-3818905,0
31354,9896,1
10208,5261,0
514427,-385207,0
23249844,-3176,0
60521,3246667,0
435938,-297134,1
13650052,-25207,0
58750,-6375155,0
16042,7031,1
10156,5208,0
468229,-321822,1
14860521,-27187,0
78438,4833333,0
12552,13437,1
795000,-641197,0
14627240,-26353,0
55312,-5399113,0
17083,8333,1
10417,5104,0
462500,-319843,0
14108021,-32760,0
58854,4075260,0
11718,10469,1
479740,-345104,0
15349427,-26770,0
98177,-4677343,0
11875,10833,1
11406,5156,0
543385,-392915,0
15356823,-5780,0
58281,-4648957,0
15313,7760,1
687864,-315103,0
14341719,-26405,0
56406,4315313,0
28750,9323,1
10886,5416,0
539011,-392447,0
14872864,-20103,0
56302,-5147239,0
15417,13073,1
470052,-323020,1
15189271,-24061,0
51979,5165209,0
13230,12708,1
11094,5260,0
487760,-339999,0
13712344,-28385,0
57084,-6316041,0
13073,11615,1
540208,-393020,0
14861354,-28176,0
49896,4833177,0
15781,7917,1
10730,4948,0
795834,-642031,0
23555052,-8592,0
83646,-6453540,0
466302,-332083,1
12852032,-28645,0
53385,2823386,0
13334,9218,1
10104,5990,0
530625,-385728,0
13645938,-8645,0
56250,3637292,0
15208,6771,1
450312,-308488,0
12966875,9971250,0
76667,2938125,0
12708,11458,1
10781,5417,0
458177,-311613,0
13779427,-27290,0
48802,3752136,0
12657,13646,1
18541,9479,0
528230,-395104,1
14828854,-16509,0
58073,-5187655,0
13959,5833,1
421041,-294009,0
12481615,-27708,0
51354,2453906,0
12552,11563,1
10052,5313,0
456198,-317707,0
13047969,-17655,0
53281,3030313,0
229063,5833,1
455834,9690104,0
12726823,-26665,0
57448,2700157,0
29010,11302,1
10469,5521,0
532864,-388697,0
12903854,-28905,0
47500,2874948,0
13177,11667,1
10625,5469,0
453282,-304010,0
11939948,-22551,0
55260,1917396,0
15782,8229,1
454636,-310624,0
11373854,-29061,0
72656,-8655207,0
12812,12969,1
10573,5260,0
869114,-699738,0
23941875,-16093,0
59479,3925781,0
23229,14583,1
491615,-357499,1
10953593,-22290,0
51771,931302,0
14010,12813,1
28958,5261,0
447864,-306561,0
10396198,-27343,0
50313,368854,0
13437,12396,1
449635,-303801,0
10441771,-20677,0
45209,421093,0
17136,7031,1
10105,4843,0
449271,-302916,0
10157761,-28437,0
52500,-9870676,0
28593,10105,1
10989,5469,0
445156,-301874,0
11953386,-25052,0
50781,1928333,0
13906,12292,1
10312,5365,0
454792,-305937,0
10585729,-29270,0
50156,556458,0
14166,6823,1
11094,5260,0
469375,-322915,0
10676666,-28957,0
49480,647708,0
14062,8021,1
10052,4791,0
533281,-385520,0
11070365,-9218,0
297969,1061146,0
27865,6406,1
10468,4948,0
477968,-322967,0
9856355,155000,0
43177,13229,1
30260,7969,0
460104,-313489,0
10426980,-25624,0
52239,401355,0
11666,6875,1
11198,5000,0
456770,-307707,0
9226511,149062,0
42032,6093,1
10208,7500,0
10052,4948,0
505625,-377968,0
24043646,-20207,0
85469,-5976561,0
12031,11459,1
481406,-327395,0
10702501,-25260,0
40885,677240,0
14583,5469,1
10208,5781,0
727813,-574947,0
8635937,152865,0
43385,14271,0
10469,5312,0
10052,5156,0
470365,-324583,0
9310469,145781,0
41719,9011,1
10521,6719,0
9687,4844,0
395989,-265676,0
9726927,130312,0
42968,7917,1
10573,5365,0
9844,4896,0
446250,-304322,0
11624114,-26040,0
57084,1598073,0
32656,13021,1
452708,-311457,0
9003542,141250,0
37969,10729,1
10209,16354,0
10573,5000,1
584271,9564166,0
