executionTime,wakeUpLatency,interfered
514427,-385207,0
435938,-297134,1
468229,-321822,1
795000,-641197,0
462500,-319843,0
479740,-345104,0
543385,-392915,0
687864,-315103,0
539011,-392447,0
470052,-323020,1
487760,-339999,0
540208,-393020,0
795834,-642031,0
466302,-332083,1
530625,-385728,0
450312,-308488,0
458177,-311613,0
528230,-395104,1
421041,-294009,0
456198,-317707,0
229063,5833,1
455834,9690104,0
532864,-388697,0
453282,-304010,0
454636,-310624,0
869114,-699738,0
491615,-357499,1
447864,-306561,0
449635,-303801,0
449271,-302916,0
445156,-301874,0
454792,-305937,0
469375,-322915,0
533281,-385520,0
297969,1061146,0
477968,-322967,0
460104,-313489,0
456770,-307707,0
505625,-377968,0
481406,-327395,0
727813,-574947,0
470365,-324583,0
395989,-265676,0
446250,-304322,0
452708,-311457,0
584271,9564166,0
486041,-334634,0
604062,-270259,0
527239,-379790,0
455886,-308228,0
450521,-307603,0
457135,9691875,0
442656,-297707,0
452552,-306092,0
473021,-331718,0
397343,-268488,0
449688,-305676,0
572292,-426822,1
788542,-642239,0
447500,-303644,0
242500,5105,0
444635,-302186,0
442136,9697760,0
455938,-309374,1
457135,-311822,0
529115,-384062,1
454479,-309999,0
453594,-306041,0
471510,-324270,0
393542,-265937,0
569011,-426614,0
413698,-280625,0
449271,-300572,0
505417,-358957,0
285313,13698,1
518958,-378124,0
449115,-303593,0
457552,-312135,0
464323,-309009,0
446250,-300467,0
391666,9734688,0
445834,-302968,0
797448,-648801,0
507083,-328020,0
434114,-305468,0
458541,-306405,0
443021,-303020,0
263646,5260,0
513229,-370207,0
459479,9687343,0
445625,-300937,0
460260,-312916,1
451770,-306561,0
544687,-397499,0
457344,-314322,0
575885,-427447,0
478802,-322186,0
453385,-308176,0
455886,-309843,0
455260,-308697,0
447344,-300364,0
252031,11563,1
773386,-624895,0
454322,-310884,0
447864,-306041,0
454688,-310155,0
449844,-304270,0
530260,-389009,0
502604,-358697,0
485417,-330155,1
464739,-321666,1
532084,-384947,0
448490,-305051,0
446875,-304582,0
687083,-312238,0
457552,-309426,1
525625,-379531,0
466823,-320364,0
461458,-313332,0
459167,-312916,0
815417,-667186,0
490990,-334583,1
539375,-391770,0
508959,-362343,0
598021,-445155,1
587291,-442342,0
848906,-693019,1
319948,2078490,0
466823,-326822,1
553854,-403384,0
544427,-400572,0
492188,-351614,1
581979,-435885,0
506042,-356458,0
750312,-592864,0
414479,-285884,0
550468,-402603,0
472865,-339583,0
565365,-419947,0
588750,-437552,0
480000,-333697,0
297865,254635,0
752656,-603853,0
411406,-280572,0
537135,-381197,0
461771,-314270,0
478854,-348332,0
473750,-324426,0
404427,-276510,0
513698,-364113,0
476042,-332447,0
763750,-634687,0
480469,-332343,0
528020,-380624,0
461458,-325936,0
303438,3880156,0
459636,-313853,0
510729,-369374,0
465781,-318749,1
462708,-333332,0
406198,-275572,0
458594,-314478,0
762344,-606614,0
457761,-312395,0
611250,-439947,0
482187,-329739,0
452760,-308072,0
534687,-383801,0
691927,-318749,0
461875,-312134,0
452500,-306509,0
533697,-384061,0
485625,-314530,0
460209,-313176,0
772500,-622187,0
458906,-314322,0
580417,-432864,0
512813,-332291,0
460261,-311458,0
536407,-392604,0
477083,-332186,1
257812,12292,1
444844,-302760,0
404271,-276405,0
532552,-386613,0
454270,-310363,0
493698,-347499,0
751198,9402084,0
540833,-388489,0
589688,-441979,1
441928,-306666,0
475052,-344114,0
457135,-311666,0
467187,-324061,0
550468,-406144,0
304844,5508333,0
445885,9693438,0
480365,-311770,0
811355,9347552,0
456927,-310051,0
460469,-314999,0
463802,-334166,0
575312,-429009,0
505104,-354791,0
463073,-316249,0
530365,-386562,0
460416,-314582,0
452188,-319374,0
778854,-622239,0
316511,-6535468,0
403698,-274686,1
459323,-317186,0
563177,-413905,0
404688,-275884,0
456562,-309113,0
564739,-416874,1
592135,-439791,1
404427,-273488,0
443229,-296093,1
460208,-312551,0
781459,-627239,0
454531,-313489,0
685886,-315155,0
560937,-404478,0
456198,-315416,0
463646,-317707,0
526250,-385155,0
577032,-431406,0
485052,-334842,0
461771,-315729,0
460053,-314166,0
816875,-651821,0
403854,-273593,0
463490,-315936,0
531146,-384322,0
301979,3213073,0
452969,9692135,0
457500,-308489,0
464167,-313749,0
537969,-392186,0
602656,-457499,0
486771,-336354,1
462553,-314322,0
454687,-315363,1
695313,-560885,0
451198,-308540,0
456198,-314791,0
460573,-314583,0
760469,-392656,0
454636,-311666,0
456667,-309426,0
406563,-274947,0
577969,-434791,0
566615,-414791,1
442083,-299165,0
452031,-304062,0
472083,-327759,0
781667,-629426,0
452343,-308436,0
456042,-308906,0
455677,-308489,0
249583,5573,0
391615,-264687,0
554063,-409530,0
400156,-270363,1
523646,9603645,0
483594,-331040,0
459896,-313645,0
458593,-311770,0
532136,-386822,0
455834,-310364,0
449271,-305989,0
453333,-309738,1
787135,-639686,0
459688,-309895,0
306250,1627500,0
606770,-458905,0
453959,-312135,1
579166,-429113,1
486041,-333644,0
529583,-382395,0
458229,-312187,0
471771,-324999,0
451041,-307707,0
455573,-314999,0
467760,-337395,0
457396,-311249,0
450052,-306092,0
604115,-273280,0
477188,-330207,0
700000,-562134,0
589010,-438384,1
451927,-308176,0
