executionTime,wakeUpLatency,interfered
407031,-278280,0
444323,-301666,0
450209,-303749,0
438541,-297290,0
461823,-304739,0
464219,-318541,0
580573,-431770,0
470625,-318437,0
400208,-269217,0
443334,-299010,0
447344,-299791,0
443646,-297655,0
263646,371042,0
437865,-293333,0
447240,-302030,0
533802,-384894,0
446458,-300259,0
452448,-304478,0
394375,-264114,0
815625,-665468,0
478281,-322499,1
450156,-300572,0
438177,-293385,0
449427,-302759,1
461355,-319010,0
237187,5261,0
439739,-294270,0
439479,-297499,0
447760,-304530,0
388958,-260937,0
466250,-320781,0
438125,-296041,0
567032,-423124,0
468020,-320259,1
443802,-299009,0
439270,-294426,0
458282,-306145,0
402500,9734271,0
449843,-304634,0
277083,5885,1
467656,-336093,0
453750,-306301,0
447813,-305416,1
444791,-301144,0
448594,-301666,0
570886,-423645,0
878802,-721978,1
482396,-328332,1
461822,-314321,0
478020,-329009,0
456250,-307655,0
535365,-398437,0
267396,5156,0
405573,-274426,0
404688,-272083,0
448386,-303333,0
470573,-336353,0
455729,-306926,0
450312,-302394,0
547969,-418280,0
482552,-330468,1
390937,-264530,0
446250,-305728,0
663281,-526562,1
396823,-270988,0
459428,-311458,0
256250,11719,1
434271,-289947,1
442917,-300468,0
534739,-392082,0
425417,-297186,0
455312,-307655,0
563854,-433385,0
507968,-334113,0
392917,-263280,0
450416,-307447,0
527448,-382134,0
447969,-301301,0
454062,-306874,0
607500,-270415,0
450104,-308801,0
806823,9350677,0
399896,-269582,0
469271,-324009,0
514062,-382655,0
419271,-287760,1
449740,-302187,1
395364,-267343,0
531771,-383697,0
455416,-306301,1
461250,-312135,0
479427,-332551,0
243646,5104,0
519427,-372551,1
453594,-308176,0
456771,-309999,0
699531,-557864,0
590469,-443593,0
494531,-339895,1
454010,-309894,0
457605,-312656,0
471719,-341249,0
459792,-325311,0
465052,-319739,0
526145,-378749,0
471354,-308645,0
297135,-5182968,0
745052,-565937,0
461198,-312343,0
454271,-307604,0
570260,-424582,0
485885,-333436,1
528437,-385780,0
456875,-313281,0
503541,-323436,0
526979,-391041,0
407448,-276302,0
400573,-269686,0
463489,-314738,0
277188,5417,0
771302,-313020,0
356042,-180416,0
403958,-272759,0
512291,-380988,0
483490,-332135,0
555833,-409113,0
465834,-311666,0
445521,9702916,0
456042,-310207,0
481093,-332030,0
533021,-379531,0
450989,-308124,0
448073,-307030,0
296771,1902239,0
451771,-301302,0
767240,-617291,0
515468,-385363,0
472500,-323749,0
469792,-324843,0
397240,-269531,0
453698,-307342,1
465834,-337083,0
410364,-273488,0
457968,-308749,0
444115,-300520,0
454791,-310676,0
773645,-388436,0
451615,-303489,0
813594,9338281,0
477084,-323229,0
468802,-321926,0
449531,-304686,0
530105,-383385,0
571719,-420520,0
445677,-304062,0
461562,-314790,0
399114,-269947,1
454532,-322343,0
540365,-394739,0
251041,6042,0
438281,-299166,0
463646,-314165,0
453125,-307603,0
788854,-638697,0
419115,-287707,0
519062,-387395,0
480833,-331145,0
534219,-383020,1
459480,-311614,0
449740,-308332,0
454740,-312291,1
564531,-415155,0
491875,-334946,0
291614,3236094,0
448333,-301613,0
454792,-311353,0
730105,-577291,0
455364,-307238,0
574479,-427134,0
478334,-326041,0
481041,-331353,0
459635,-307655,1
537916,-391353,0
450052,-318488,0
462448,-314374,0
424531,-293644,0
702396,-374322,0
475417,-325676,0
673437,-538332,0
446250,-303020,0
445157,-300989,0
444115,-301822,0
450260,-305155,0
442604,-296562,0
447083,-301405,0
444896,-299061,0
462448,9662969,0
444687,-301822,0
441823,-315833,0
376614,2723855,0
555885,-408020,0
448750,-301978,1
434375,-302968,0
447656,-302916,0
454480,-306510,1
450885,-306666,0
484532,-338124,0
446458,-304009,0
450209,-306874,0
454375,-308124,0
467500,-322759,0
777396,-627395,0
488645,-331926,1
296979,829219,0
517865,-375676,0
448750,-306093,0
446458,-301197,0
447292,-304270,0
453854,-307967,0
470364,-325832,0
441927,-299635,0
526823,-377239,0
450886,9693906,0
443854,-303749,0
576614,-436249,0
489792,-336406,1
679843,-303957,0
458906,9688750,0
452812,-306196,0
779219,-627708,0
458593,-308228,0
454218,-306144,0
460312,-320103,0
396041,9732188,0
448802,-302655,0
394219,-267551,0
564739,-422811,0
486614,-330624,1
525104,-378853,0
251823,8490,0
440678,-299687,0
446875,-302655,1
442864,9700209,0
450261,-308906,0
448438,-304478,1
451615,-307864,0
607917,-438906,0
400990,-271406,0
455104,-307812,0
728020,-596665,0
638229,-485260,0
477084,-324010,1
441354,-300676,0
287864,10625,1
437761,-294322,0
394636,-266406,0
457656,-312551,0
538958,-391613,0
461666,-319634,0
397552,-267916,0
465416,-321613,0
451041,-308957,0
451458,-306822,0
580364,-433488,0
482917,-331926,0
771146,-621718,0
678490,-304999,1
446146,-301457,0
455052,9689063,0
458958,-311874,0
542240,-395364,0
455260,-309634,0
450729,-305884,0
462448,-321510,0
447864,-300624,0
573698,-432187,0
472917,-322812,1
453698,-305624,0
531511,-384531,0
244271,5469,0
440625,-296978,1
540885,-406509,0
